period_id,period_label,building_class,tabula_archetype,tabula_epoca,wall_code_primary,u_wall_primary,wall_code_secondary,u_wall_secondary,wall_code_tertiary,u_wall_tertiary,roof_code,u_roof,ceiling_code,u_ceiling,floor_code,u_floor,window_u_mean,window_u_std,window_u_median,window_u_q1,window_u_q3,window_u_source,window_g_value,window_g_source,wall_description_urbem,roof_description_urbem,urbem_wall_mix,envelope_source,confidence
P4,1961_1970,MFH,MFH_05,1961-1975,Wall_03.01,1.1516,Wall_04.01,1.7519,,,Roof_03.01,2.2167,Ceiling_03.01,1.6636,Floor_03.01,1.3182,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P4,1961_1970,Apartments,AB_05,1961-1975,Wall_03.02,1.086,Wall_04.02,1.2623,,,Roof_03.01,2.2167,Ceiling_03.01,1.6636,Floor_03.01,1.3182,3.38,1.31,3.16,2.32,4.58,URBEM ['1961-1970'] EPC apartments (n=76504),,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: hollow brick masonry with air gap (cod. MCV01).,Roof slabs: reinforced concrete floor slab (cod. SOL04).,Hollow brick masonry: 80.00%; Solid Brick masonry: 17.00%; Unknown: 2.00%; Prefabricated panels: 1.00%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,high
P5,1971_1980,SFH,SFH_05,1961-1975,Wall_04.02,1.2623,,,,,Roof_03.01,2.2167,,,Floor_01.04,2.0893,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P5,1971_1980,MFH,MFH_05,1961-1975,Wall_03.01,1.1516,Wall_04.01,1.7519,,,Roof_03.01,2.2167,Ceiling_03.01,1.6636,Floor_03.01,1.3182,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P5,1971_1980,Apartments,AB_05,1961-1975,Wall_03.02,1.086,Wall_04.02,1.2623,,,Roof_03.01,2.2167,Ceiling_03.01,1.6636,Floor_03.01,1.3182,3.28,1.29,3.1,2.28,4.49,URBEM ['1971-1980'] EPC apartments (n=33754),,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: hollow brick masonry with thermal insulation (cod. MCV02).,Roof slabs: reinforced concrete floor slab (cod. SOL04).,Hollow brick masonry: 79.00%; Solid Brick masonry: 17.00%; Unknown: 2.00%; Prefabricated panels: 1.00%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,high
P6,1981_1990,SFH,SFH_06,1976-1990,Wall_06.02,0.7654,,,,,Roof_06.02,1.1288,,,Floor_06.01,0.9754,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P6,1981_1990,MFH,MFH_06,1976-1990,Wall_06.03,0.8103,Wall_06.03,0.8103,,,Roof_03.01,2.2167,Ceiling_06.01,0.9653,Floor_06.01,0.9754,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P6,1981_1990,Apartments,AB_06,1976-1990,Wall_06.02,0.7654,Wall_06.05,0.8223,,,Roof_03.02,1.8443,Ceiling_06.01,0.9653,Floor_06.01,0.9754,2.97,1.03,2.88,2.31,3.3,URBEM ['1981-1990'] EPC apartments (n=14645),,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: hollow brick masonry with thermal insulation (cod. MCV02).,Roof slabs: reinforced concrete floor slab (cod. SOL04).,Hollow brick masonry: 74.00%; Solid Brick masonry: 21.00%; Prefabricated panels: 3.00%; Unknown: 2.00%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,high
P7,1991_2000,SFH,SFH_07,1991-2005,Wall_07.03,0.5906,,,,,Roof_03.01,2.2167,Ceiling_07.01,0.68,Floor_07.01,0.774,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P7,1991_2000,MFH,MFH_07,1991-2005,Wall_07.01,0.5895,Wall_07.05,0.6086,,,Roof_03.01,2.2167,Ceiling_07.01,0.68,Floor_07.01,0.774,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P7,1991_2000,Apartments,AB_07,1991-2005,Wall_07.05,0.6086,Wall_07.03,0.5906,Wall_07.04,0.6206,Roof_07.03,0.689,Ceiling_07.01,0.68,Floor_07.01,0.774,2.67,0.75,2.76,2.2,3.03,URBEM ['1991-2000'] EPC apartments (n=12567),,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: hollow brick masonry with thermal insulation (cod. MCV02).,Roof slabs: reinforced concrete floor slab (cod. SOL04).,Hollow brick masonry: 76.00%; Solid Brick masonry: 21.00%; Unknown: 2.00%; Prefabricated panels: 1.00%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,high
P8,2001_2005,SFH,SFH_07,1991-2005,Wall_07.03,0.5906,,,,,Roof_03.01,2.2167,Ceiling_07.01,0.68,Floor_07.01,0.774,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P8,2001_2005,MFH,MFH_07,1991-2005,Wall_07.01,0.5895,Wall_07.05,0.6086,,,Roof_03.01,2.2167,Ceiling_07.01,0.68,Floor_07.01,0.774,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P8,2001_2005,Apartments,AB_07,1991-2005,Wall_07.05,0.6086,Wall_07.03,0.5906,Wall_07.04,0.6206,Roof_07.03,0.689,Ceiling_07.01,0.68,Floor_07.01,0.774,2.44,0.68,,,,URBEM ['2001-2010'] EPC apartments (n=18517),,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: hollow brick masonry with thermal insulation (cod. MCV02).,Roof slabs: reinforced concrete floor slab (cod. SOL04).,Hollow brick masonry: 78.00%; Prefabricated panels: 1.00%; Solid Brick masonry: 19.00%; Unknown: 2.00%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium (proxy: URBEM 2001-2010 sheet also covers 2006-2010)
P9,after_2005,SFH,SFH_08,Dopo il 2005,Wall_08.01,0.3366,,,,,Roof_07.02,0.7352,Ceiling_08.01,0.2984,Floor_08.02,0.3357,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P9,after_2005,MFH,MFH_08,Dopo il 2005,Wall_08.01,0.3366,Wall_08.02,0.3373,,,Roof_07.02,0.7352,Ceiling_08.01,0.2984,Floor_08.01,0.3324,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P9,after_2005,Apartments,AB_08,Dopo il 2005,Wall_08.01,0.3366,Wall_08.02,0.3373,,,Roof_07.02,0.7352,Ceiling_08.01,0.2984,Floor_08.01,0.3324,2.1533,0.764,,,,"URBEM ['2001-2010', '2011-'] EPC apartments (n=31679)",,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: hollow brick masonry with thermal insulation (cod. MCV02).,Roof slabs: reinforced concrete floor slab (cod. SOL04).,Hollow brick masonry: 77.17%; Prefabricated panels: 1.00%; Solid Brick masonry: 19.00%; Unknown: 2.83%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium (weighted blend of URBEM 2001-2010 + 2011-)
