period_id,period_label,building_class,heating_system_shares,energy_carrier_shares,dhw_system_shares,ventilation_type,air_exchange_rate_h,heating_daily_hours_h,heating_power_kw_mean,heating_power_kw_std,cooling_power_kw_mean,cooling_power_kw_std,dhw_power_kw_mean,dhw_power_kw_std,dhw_temp_c,apartment_net_floor_area_m2_mean,apartment_net_floor_area_m2_std,apartment_gross_volume_m3_mean,apartment_gross_volume_m3_std,compactness_mean,compactness_std,occupancy_source,efficiency_note,system_source,confidence,data_quality_flag
P5,1971_1980,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P6,1981_1990,Apartments,Autonomous: 76.00%; Centralized: 24.00%,Natural Gas: 79.00%; Electricity: 7.00%; District heating: 5.00%; Solid biomass: 4.00%; LPG: 3.00%; Gas Oil: 2.00%,"Autonomous, coupled with heating: 69.00%; Autonomous, detached from heating: 19.00%; Centralized, coupled with heating: 10.00%; Centralized, detached from heating: 2.00%",Natural: 100%,0.3,14,4.4,23,4.7,3.6,22.5,7.6,40,90.6,45.8,339,188.6,0.58,0.25,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,URBEM ['1981-1990'] EPC apartments (n=14645),high,"heating_power mean (4.4) below q1 (8.0) - suspect entry in workbook, verify"
P6,1981_1990,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P6,1981_1990,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P7,1991_2000,Apartments,Autonomous: 96.00%; Centralized: 4.00%,Natural Gas: 79.00%; Electricity: 7.00%; District heating: 5.00%; Solid biomass: 4.00%; LPG: 3.00%; Gas Oil: 2.00%,"Autonomous, coupled with heating: 91.00%; Autonomous, detached from heating: 4.00%; Centralized, coupled with heating: 4.00%; Centralized, detached from heating: 1.00%",Natural: 100%,0.3,14,25,3.7,5.1,4,24.6,4.7,40,94.9,48.9,350.3,187.2,0.62,2.86,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,URBEM ['1991-2000'] EPC apartments (n=12567),high,
P7,1991_2000,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P7,1991_2000,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P8,2001_2005,Apartments,Autonomous: 82.00%; Centralized: 18.00%,District heating: 6.00%; Electricity: 6.00%; Gas Oil: 2.00%; LPG: 2.00%; Natural Gas: 80.00%; Solid biomass: 4.00%,"Autonomous, coupled with heating: 79.00%; Autonomous, detached from heating: 4.00%; Centralized, coupled with heating: 16.00%; Centralized, detached from heating: 1.00%",Natural: 100%,0.3,14,24.6,3.7,5.3,5.2,24.3,4.5,40,80.0,42.9,297.7,166.3,0.58,0.33,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,URBEM ['2001-2010'] EPC apartments (n=18517),medium (proxy: URBEM 2001-2010 sheet also covers 2006-2010),
P8,2001_2005,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P8,2001_2005,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P9,after_2005,Apartments,Autonomous: 71.61%; Centralized: 28.39%,District heating: 6.00%; Electricity: 6.00%; Gas Oil: 2.00%; LPG: 2.00%; Natural Gas: 80.00%; Solid biomass: 4.00%,"Autonomous, coupled with heating: 65.70%; Autonomous, detached from heating: 7.74%; Centralized, coupled with heating: 22.65%; Centralized, detached from heating: 3.91%",Natural: 100%,0.3,14,21.8578,7.8079,6.6295,6.4066,21.267,8.6105,40,82.3267,44.6037,317.3938,180.7541,0.5883,0.2928,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,"URBEM ['2001-2010', '2011-'] EPC apartments (n=31679)",medium (weighted blend of URBEM 2001-2010 + 2011-),
P9,after_2005,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P9,after_2005,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
