COD_CIVICO,COMUNE,VIA,CIVICO,CIRCOSCRIZIONE,CAP,COORDINATA_X,COORDINATA_Y
81910,Torino,STRADA PIANEZZA,311 int. 10 int. L,5,10151,7.62440887930471,45.0975567233857
59393,Torino,STRADA PIANEZZA,311 int. 10 int. M,5,10151,7.62398220711963,45.0975410685915
85857,Torino,STRADA PIANEZZA,380,5,10151,7.61870469170012,45.1001923554056
58599,Torino,VIA MATTEO PESCATORE,11 scala A,1,10124,7.69678766570606,45.0655967889038
58570,Torino,VIA MATTEO PESCATORE,12 scala B,1,10124,7.6964884205879,45.0654701212432
85798,Torino,VIA DELLE PERVINCHE,55 scala C,5,10151,7.62810210389062,45.1051399114168
58686,Torino,VIA DELLE PERVINCHE,55 scala D,5,10151,7.62833026290356,45.105124189884
58687,Torino,VIA DELLE PERVINCHE,55 scala E,5,10151,7.62853974317538,45.1051097828461
58689,Torino,VIA DELLE PERVINCHE,57,5,10151,7.62870351750505,45.1058776862549
81798,Torino,VIA DELLE PERVINCHE,61 scala B,5,10151,7.6280009635172,45.1056539534627
58695,Torino,VIA DELLE PERVINCHE,61 scala E,5,10151,7.62799698059213,45.1048561750619
81799,Torino,VIA DELLE PERVINCHE,61 scala G,5,10151,7.62865933110469,45.1048097791936
85797,Torino,VIA DELLE PERVINCHE,65 scala A,5,10151,7.62725744176348,45.105605427992
58678,Torino,VIA DELLE PERVINCHE,69 scala B,5,10151,7.62665254770421,45.1054112072389
58681,Torino,VIA DELLE PERVINCHE,73 scala A,5,10151,7.62585574063381,45.105910213051
58656,Torino,VIA PESARO,7,7,10152,7.67532311365269,45.0848774194346
57572,Torino,VIA PASTRENGO,13 scala A,1,10128,7.67131542017475,45.059292753336
57579,Torino,VIA PASTRENGO,16 scala A,1,10128,7.67106750924358,45.0596398481084
57581,Torino,VIA PASTRENGO,17 scala A,1,10128,7.66974761733041,45.0598498477416
57637,Torino,VIA PASTRENGO,19 scala B,1,10128,7.66931267133553,45.0597512696096
135013,Torino,VIA PASTRENGO,20 scala A,1,10128,7.66993072161717,45.060057166951
57639,Torino,VIA PASTRENGO,22,1,10128,7.66954966434397,45.0601124544758
81622,Torino,VIA PASTRENGO,28 scala B,1,10128,7.66852898582689,45.0605378634183
57620,Torino,VIA FEDERICO PATETTA,6,6,10155,7.69807380710333,45.1042648561939
57627,Torino,VIA FEDERICO PATETTA,12,6,10155,7.69858853653199,45.1041338618003
85716,Torino,VIA FEDERICO PATETTA,16,6,10155,7.6988840564715,45.1040586535729
57630,Torino,VIA FEDERICO PATETTA,20,6,10155,7.69930682197969,45.1039510566566
56575,Torino,VIA NATALE PALLI,34,5,10147,7.68023322473178,45.1018946509539
85642,Torino,VIA NATALE PALLI,44,5,10147,7.67897623488121,45.1019899639741
81446,Torino,VIA NATALE PALLI,47,5,10147,7.67917899511962,45.1018387584021
56624,Torino,VIA NATALE PALLI,52,5,10147,7.67825172142532,45.1020448980066
122840,Torino,VIA NATALE PALLI,55 scala B,5,10147,7.67827249931494,45.1018627459966
81448,Torino,VIA NATALE PALLI,63,5,10147,7.67707631364557,45.1019982143462
56632,Torino,VIA NATALE PALLI,65,5,10147,7.67699203592219,45.1020046103271
56584,Torino,VIA LUIGI PALMA DI CESNOLA,23 scala B,8,10127,7.65449741207794,45.0239469130824
85639,Torino,VIA LUIGI PALMA DI CESNOLA,25,8,10127,7.65431002765681,45.0237539113394
56588,Torino,VIA LUIGI PALMA DI CESNOLA,29,8,10127,7.65401092254053,45.0232207098644
56589,Torino,VIA LUIGI PALMA DI CESNOLA,30,8,10127,7.65423089818919,45.0240567542083
56597,Torino,VIA LUIGI PALMA DI CESNOLA,38 scala A,8,10127,7.65391708044728,45.0236703428434
85632,Torino,VIA PALLANZA,20,7,10153,7.72262057769418,45.0728514096586
56486,Torino,VIA PALLANZA,22,7,10153,7.72255321909201,45.0729387562343
56487,Torino,VIA PALLANZA,23,7,10153,7.72203967291835,45.0734455424759
59373,Torino,STRADA PIANEZZA,422,5,10151,7.61468162437995,45.0996733245614
59375,Torino,VIA PIANEZZA,2,4,10149,7.65682479902306,45.0879064405818
59478,Torino,VIA PIANEZZA,6,4,10149,7.65677162687175,45.0880237467102
59463,Torino,VIA PIANEZZA,22,4,10149,7.65644900310885,45.0895346621234
81929,Torino,VIA PIANEZZA,46,4,10149,7.65524601544352,45.0912823181722
59435,Torino,VIA PIACENZA,22,8,10127,7.64650470819356,45.019645972783
59436,Torino,VIA PIACENZA,24,8,10127,7.64644106103284,45.019544550906
59410,Torino,VIA PIACENZA,29,8,10127,7.64677191676477,45.0196707081543
58661,Torino,VIA PESARO,17,7,10152,7.67730142319805,45.0842356103718
58648,Torino,VIA PESARO,34,7,10152,7.67873114794223,45.0836515400078
58315,Torino,VIA DELLE PERVINCHE,23 scala D,5,10151,7.63286158233971,45.1055447928045
58316,Torino,VIA DELLE PERVINCHE,23 scala E,5,10151,7.63305854686649,45.105589845875
58317,Torino,VIA DELLE PERVINCHE,23 scala F,5,10151,7.63320828007004,45.1056241163474
58318,Torino,VIA DELLE PERVINCHE,23 scala G,5,10151,7.63340323382732,45.1056586397727
58319,Torino,VIA DELLE PERVINCHE,23 scala H,5,10151,7.63361047987732,45.1056457359815
58320,Torino,VIA DELLE PERVINCHE,23 scala I,5,10151,7.63390956693838,45.1054057195313
58322,Torino,VIA DELLE PERVINCHE,23 scala N,5,10151,7.63467445756969,45.1057331497536
58325,Torino,VIA DELLE PERVINCHE,24,5,10151,7.63612090271619,45.1053313073108
58327,Torino,VIA DELLE PERVINCHE,27,5,10151,7.63313605497957,45.1060288593233
58432,Torino,VIA DELLE PERVINCHE,31,5,10151,7.63267194406106,45.1059030941922
85779,Torino,VIA DELLE PERVINCHE,35,5,10151,7.63150922246599,45.1056950618786
58436,Torino,VIA DELLE PERVINCHE,37,5,10151,7.63129572821679,45.1057066357256
58437,Torino,VIA DELLE PERVINCHE,40,5,10151,7.63103552536281,45.1059434477999
81758,Torino,VIA DELLE PERVINCHE,43 scala B,5,10151,7.63039381867115,45.1054945345765
58443,Torino,VIA DELLE PERVINCHE,43 scala E,5,10151,7.6308418667241,45.1052008352681
58445,Torino,VIA DELLE PERVINCHE,44 scala A,5,10151,7.62931740629077,45.1061660718323
58718,Torino,VIA DELLE PERVINCHE,44 scala D,5,10151,7.62982455509528,45.1067215139251
58725,Torino,VIA DELLE PERVINCHE,46 scala C,5,10151,7.62854226562467,45.1066036449027
85801,Torino,VIA DELLE PERVINCHE,47,5,10151,7.63000858924343,45.1057891118283
57510,Torino,VIA PASSO BUOLE,167,8,10135,7.64324854706513,45.0280124558838
57512,Torino,VIA PASSO BUOLE,168,8,10135,7.64315611684513,45.0282050046312
85706,Torino,VIA PASSO BUOLE,170 int. 1,8,10135,7.64297575853592,45.0285042600836
85703,Torino,VIA PASSO BUOLE,170 int. 10,8,10135,7.64337859947686,45.0286796761936
57491,Torino,VIA PASSO BUOLE,174,8,10135,7.64250121557553,45.0284312229483
57470,Torino,VIA PASSO DEL BRENNERO,5,4,10146,7.63711135518394,45.0804898421097
57474,Torino,VIA PASSO DEL BRENNERO,9,4,10146,7.6367819470016,45.0805033103451
81595,Torino,VIA MARIO E PIER LUIGI PASSONI,2,4,10146,7.62060584353297,45.0830821580976
57549,Torino,VIA MARIO E PIER LUIGI PASSONI,14,4,10146,7.61774407022473,45.0832564819837
85709,Torino,VIA MARIO E PIER LUIGI PASSONI,18,4,10146,7.61677618289387,45.0832861244197
81609,Torino,VIA LUIGI PASTEUR,5,4,10146,7.60781744191883,45.0747175975775
57561,Torino,VIA LUIGI PASTEUR,6 scala C,4,10146,7.60877156620793,45.0760603131278
57563,Torino,VIA LUIGI PASTEUR,11,4,10146,7.60779536805561,45.0749816365805
57533,Torino,VIA PASTRENGO,1 bis,1,10128,7.67361011752319,45.0585287698071
85636,Torino,CORSO PALESTRO,6,1,10122,7.67279671495464,45.0746185999165
56540,Torino,CORSO PALESTRO,8,1,10122,7.67261544517756,45.0743675046442
56542,Torino,CORSO PALESTRO,11,1,10122,7.67215153143372,45.0731708919539
56544,Torino,CORSO PALESTRO,14,1,10122,7.67212051654358,45.0736724146475
56516,Torino,CORSO PALESTRO,20,1,10122,7.67168700468086,45.0730916299187
56522,Torino,VIA ANDREA PALLADIO,3,8,10131,7.70303613429979,45.0602584291642
56526,Torino,VIA ANDREA PALLADIO,6 int. 1,8,10131,7.70274549907411,45.059794921469
56530,Torino,VIA PALLANZA,1,7,10153,7.72305955065529,45.0720014233841
56510,Torino,VIA PALLANZA,12,7,10153,7.7229245891459,45.0724581390577
56512,Torino,VIA PALLANZA,16,7,10153,7.72280783055229,45.0726085936588
133148,Torino,VIA PALLANZA,17 scala A,7,10153,7.72234725958598,45.072726270196
133149,Torino,VIA PALLANZA,17 scala B,7,10153,7.72228779712755,45.0727175212989
133150,Torino,VIA PALLANZA,17 scala C,7,10153,7.72207992587532,45.0726854984105
56514,Torino,VIA PALLANZA,18,7,10153,7.72270644674185,45.072740064397
79843,Torino,VIA PIER LUIGI PALESTRINA,23,6,10155,7.69142528653941,45.0934291639941
79844,Torino,VIA PIER LUIGI PALESTRINA,24,6,10155,7.6912367673358,45.0936400830955
79821,Torino,VIA PIER LUIGI PALESTRINA,28,6,10155,7.69090250040546,45.0937510863675
59411,Torino,VIA PIACENZA,30,8,10127,7.64611919120528,45.019031294636
59416,Torino,VIA PIACENZA,32 scala B,8,10127,7.64582956404245,45.0187099366902
59399,Torino,VIA PIANCERI,12,4,10146,7.63132874253864,45.0829049039214
81909,Torino,STRADA PIANEZZA,301,5,10151,7.62793917736485,45.098233331738
59388,Torino,STRADA PIANEZZA,311 int. 10 int. A,5,10151,7.62677770492456,45.0976447906921
59391,Torino,STRADA PIANEZZA,311 int. 10 int. G,5,10151,7.62512042280413,45.0975828552678
81896,Torino,VIA AMEDEO PEYRON,49,4,10143,7.65681313423461,45.0804329500061
81897,Torino,VIA AMEDEO PEYRON,52,4,10143,7.65769696400821,45.0802477982576
59346,Torino,VIA AMEDEO PEYRON,58 scala B,4,10143,7.65676699415409,45.0806251344153
126946,Torino,PIAZZA AMEDEO PEYRON,5 scala B,4,10143,7.66280369484634,45.0782271787663
58729,Torino,VIA DELLE PERVINCHE,48 scala C,5,10151,7.62735821794972,45.1065987135343
81805,Torino,VIA DELLE PERVINCHE,49,5,10151,7.62980937342275,45.105802627536
58702,Torino,VIA DELLE PERVINCHE,50 scala C,5,10151,7.62629511101655,45.1067136662092
81800,Torino,VIA DELLE PERVINCHE,51 scala C,5,10151,7.6303011874919,45.1056504581229
58707,Torino,VIA DELLE PERVINCHE,52 scala A,5,10151,7.62495220190668,45.1063154978784
81801,Torino,VIA DELLE PERVINCHE,52 scala D,5,10151,7.62539209155027,45.1068963536415
58712,Torino,VIA DELLE PERVINCHE,53 scala B,5,10151,7.62908517521227,45.1050216345833
58714,Torino,VIA DELLE PERVINCHE,53 scala E,5,10151,7.62963158087409,45.1052996214995
58370,Torino,STRADA DELLA PERUSSIA,32,5,10151,7.65457473373824,45.1068014116712
85773,Torino,VIA DELLE PERVINCHE,3,5,10151,7.63566404705167,45.1037346282027
58351,Torino,VIA DELLE PERVINCHE,5,5,10151,7.63572825522159,45.1039179228378
81743,Torino,VIA DELLE PERVINCHE,9 scala A,5,10151,7.63559682402771,45.1047438787729
58357,Torino,VIA DELLE PERVINCHE,9 scala D,5,10151,7.63553906963017,45.1052462486233
57331,Torino,VIA PASSO BUOLE,57,8,10127,7.65492887033204,45.023975310977
57457,Torino,VIA PASSO BUOLE,60 int. 15,8,10127,7.65453959722141,45.0245057930439
57460,Torino,VIA PASSO BUOLE,60 bis,8,10127,7.654228124073,45.0243782665217
57464,Torino,VIA PASSO BUOLE,64,8,10127,7.65385398045787,45.0245082085429
57465,Torino,VIA PASSO BUOLE,65,8,10127,7.65408107083398,45.0242695196765
57434,Torino,VIA PASSO BUOLE,66,8,10127,7.65374859473539,45.0245447737521
57437,Torino,VIA PASSO BUOLE,67 bis,8,10127,7.65380483296917,45.0243630599136
57440,Torino,VIA PASSO BUOLE,71,8,10127,7.65350914640388,45.0244675053952
57443,Torino,VIA PASSO BUOLE,73 bis,8,10127,7.65334910597952,45.0245229146769
57447,Torino,VIA PASSO BUOLE,79,8,10127,7.65284656236664,45.0246968972626
57518,Torino,VIA PASSO BUOLE,96,8,10135,7.65038239339943,45.0257092104018
81602,Torino,VIA PASSO BUOLE,143,8,10135,7.64591768633086,45.0270913598316
57528,Torino,VIA PASSO BUOLE,145 bis,8,10135,7.64530108816865,45.027303807592
135010,Torino,VIA PASSO BUOLE,151 scala A,8,10135,7.64489017376049,45.0273802992351
81604,Torino,VIA PASSO BUOLE,153,8,10135,7.64479338976233,45.0274789897466
57502,Torino,VIA PASSO BUOLE,157,8,10135,7.64444114722416,45.0276005370346
57503,Torino,VIA PASSO BUOLE,160,8,10135,7.64415302746306,45.0278599422747
79683,Torino,VIA PIER LUIGI PALESTRINA,7,6,10155,7.69297707696615,45.0929117933421
79688,Torino,VIA PIER LUIGI PALESTRINA,9,6,10155,7.69284423059142,45.0929560554326
79692,Torino,VIA PIER LUIGI PALESTRINA,13,6,10155,7.69252420121452,45.0930627345884
79809,Torino,CORSO PALERMO,93,6,10154,7.69308503479029,45.0874434663475
85339,Torino,CORSO PALERMO,95,6,10154,7.69310372792729,45.0877743856544
81902,Torino,PIAZZA AMEDEO PEYRON,7,4,10143,7.66241969321921,45.0781352744209
59352,Torino,PIAZZA AMEDEO PEYRON,11,4,10143,7.66152115062226,45.0782076875909
59353,Torino,PIAZZA AMEDEO PEYRON,13,4,10143,7.66128347631478,45.0782920112394
59329,Torino,PIAZZA AMEDEO PEYRON,22,4,10143,7.6621619891188,45.0786706854451
59330,Torino,PIAZZA AMEDEO PEYRON,26,4,10143,7.66176796841992,45.0788092140512
59335,Torino,VIA PIACENZA,2,8,10127,7.64817624382741,45.0223916793303
81900,Torino,VIA PIACENZA,3,8,10127,7.64815324574148,45.0218766378108
81901,Torino,VIA PIACENZA,6 scala A,8,10127,7.64750093884371,45.0216703140144
59343,Torino,VIA PIACENZA,6 scala D,8,10127,7.64705308435279,45.0219343130401
85863,Torino,VIA PIACENZA,6 scala G,8,10127,7.64748636736863,45.0221464879075
59451,Torino,VIA PIACENZA,9,8,10127,7.64779921614982,45.0213113892769
59454,Torino,VIA PIACENZA,11,8,10127,7.64772146510854,45.0211872605548
81921,Torino,VIA PIACENZA,13,8,10127,7.64765460154616,45.0210805082166
81879,Torino,VIA PEVERAGNO,12,8,10126,7.66915519027507,45.0358036789905
59206,Torino,VIA PEVERAGNO,13,8,10126,7.66931358533264,45.0359492207243
59181,Torino,VIA PEVERAGNO,17,8,10126,7.66918643364006,45.0356114855607
58359,Torino,VIA DELLE PERVINCHE,9 scala F,5,10151,7.63517240423257,45.1053172289029
58361,Torino,VIA DELLE PERVINCHE,9 scala I,5,10151,7.63501787064384,45.1049126547435
58330,Torino,VIA DELLE PERVINCHE,9 scala N,5,10151,7.63521192889997,45.1042913185454
58337,Torino,VIA DELLE PERVINCHE,11,5,10151,7.63565467751457,45.105468180601
58339,Torino,VIA DELLE PERVINCHE,13,5,10151,7.63560580263589,45.1056645357791
58341,Torino,VIA DELLE PERVINCHE,19,5,10151,7.6350447718829,45.1060419783231
58313,Torino,VIA DELLE PERVINCHE,23 scala A,5,10151,7.63415031764554,45.1059375212655
58276,Torino,VIA PUBLIO ELVIO PERTINACE,46,2,10137,7.6312519105577,45.0364258981115
58245,Torino,VIA PUBLIO ELVIO PERTINACE,48,2,10137,7.63113110103781,45.0362516243224
135016,Torino,VIA PERUGIA,4 scala A,7,10152,7.69120821843702,45.0780677666843
57397,Torino,VIA PASSO BUOLE,5 bis,8,10127,7.66226059299672,45.0222133836097
57398,Torino,VIA PASSO BUOLE,7,8,10127,7.66203210659569,45.022260459675
57368,Torino,VIA PASSO BUOLE,8,8,10127,7.66264318114647,45.0222834973852
81576,Torino,VIA PASSO BUOLE,10,8,10127,7.66248209515489,45.0223168617827
57377,Torino,VIA PASSO BUOLE,13,8,10127,7.66161035807891,45.0223473987568
57353,Torino,VIA PASSO BUOLE,16,8,10127,7.66189194207789,45.0224391057483
81573,Torino,VIA PASSO BUOLE,17 int. 5,8,10127,7.66115632026939,45.0222218837503
57360,Torino,VIA PASSO BUOLE,17 int. 10,8,10127,7.66085196682699,45.0219560196928
81574,Torino,VIA PASSO BUOLE,17 int. 12,8,10127,7.66080574083085,45.0218356902983
57363,Torino,VIA PASSO BUOLE,17 int. 16,8,10127,7.66066298357944,45.021464076998
57339,Torino,VIA PASSO BUOLE,21,8,10127,7.66055056088775,45.0225663998401
81570,Torino,VIA PASSO BUOLE,34,8,10127,7.65938615729827,45.0229565478871
57317,Torino,VIA PASSO BUOLE,51,8,10127,7.65554537279648,45.0237617207427
57318,Torino,VIA PASSO BUOLE,52,8,10127,7.65508797806226,45.0240810120707
85692,Torino,VIA PASSO BUOLE,53,8,10127,7.65541336678497,45.0238071919246
57328,Torino,VIA PASSO BUOLE,56,8,10127,7.65477771739621,45.0241884308224
56498,Torino,VIA PALLANZA,27,7,10153,7.72185813538127,45.0739046970886
81420,Torino,VIA PALLANZA,31,7,10153,7.72175482236617,45.0741640871601
56475,Torino,VIA PALLANZA,34,7,10153,7.72171248372209,45.0747706998571
56477,Torino,VIA PALLANZA,38,7,10153,7.72159962321919,45.0750485084606
56448,Torino,VIA GIORGIO PALLAVICINO,22,7,10153,7.70248664648293,45.0727935598149
81418,Torino,VIA NATALE PALLI,1,5,10147,7.68327482670764,45.1015280181601
56463,Torino,VIA NATALE PALLI,6,5,10147,7.68297436543605,45.1016862417486
56433,Torino,VIA NATALE PALLI,9,5,10147,7.68256215071658,45.1015820988596
56438,Torino,VIA NATALE PALLI,15,5,10147,7.68182768823888,45.1016378229746
56440,Torino,VIA NATALE PALLI,17,5,10147,7.68162963355516,45.1016528558011
56443,Torino,VIA NATALE PALLI,19,5,10147,7.68153541298472,45.1016599955039
56444,Torino,VIA NATALE PALLI,20,5,10147,7.68149593719617,45.1017979228898
56558,Torino,CORSO PALESTRO,3,1,10122,7.67302671566974,45.0744000640824
122862,Torino,CORSO PALESTRO,4 scala B,1,10122,7.67287224838028,45.0750348632852
59189,Torino,VIA AMEDEO PEYRON,7,4,10143,7.66418408903789,45.0778418308134
59191,Torino,VIA AMEDEO PEYRON,8,4,10143,7.66436743340411,45.0778969777275
59193,Torino,VIA AMEDEO PEYRON,9,4,10143,7.66407880507694,45.0778787935013
133702,Torino,VIA AMEDEO PEYRON,12 scala A,4,10143,7.66390600990037,45.0781390914851
59284,Torino,VIA AMEDEO PEYRON,14,4,10143,7.66325187125781,45.0782891191639
59291,Torino,VIA AMEDEO PEYRON,19,4,10143,7.66103717870113,45.0789483477588
59295,Torino,VIA AMEDEO PEYRON,27,4,10143,7.66043994784861,45.0791579699613
59315,Torino,VIA AMEDEO PEYRON,33,4,10143,7.65910445196079,45.0796262557048
81898,Torino,VIA AMEDEO PEYRON,35,4,10143,7.65887454252086,45.0797057505507
59324,Torino,VIA AMEDEO PEYRON,39 scala A,4,10143,7.65825395516413,45.079866009502
59325,Torino,VIA AMEDEO PEYRON,40,4,10143,7.65974317626965,45.0795225648779
85853,Torino,VIA AMEDEO PEYRON,44,4,10143,7.65922296377396,45.0797068265818
59277,Torino,VIA ERRICO PETRELLA,40,6,10154,7.70391223945197,45.0897663433017
81887,Torino,VIA ERRICO PETRELLA,75,6,10154,7.70769656553241,45.0917029884223
123693,Torino,VIA ERRICO PETRELLA,81 scala A,6,10154,7.70824170150145,45.0920469549493
58231,Torino,VIA ETTORE PERRONE,10,1,10122,7.67283365910019,45.0732603418676
58236,Torino,VIA ETTORE PERRONE,14,1,10122,7.67257708542914,45.0729011064141
123051,Torino,VIA PERTENGO,2,6,10155,7.69512202691314,45.1044309384704
58241,Torino,VIA PERTENGO,5,6,10155,7.69459863563522,45.1044172869217
58297,Torino,VIA PERTENGO,15,6,10155,7.69396160821114,45.1045736716765
81737,Torino,VIA PUBLIO ELVIO PERTINACE,17,2,10137,7.63262623622398,45.0380003323675
58310,Torino,VIA PUBLIO ELVIO PERTINACE,19,2,10137,7.63252476156516,45.0378540531795
81732,Torino,VIA PUBLIO ELVIO PERTINACE,23,2,10137,7.63237923421687,45.0376442606927
57311,Torino,PIAZZA ALBERTO PASINI,3,7,10132,7.72998867694707,45.0757568834728
135724,Torino,VIA GIUSEPPE LUIGI PASSALACQUA,3 scala A,1,10122,7.67085071140751,45.0753978615329
135725,Torino,VIA GIUSEPPE LUIGI PASSALACQUA,3 scala B,1,10122,7.6708038614189,45.0753163380115
135728,Torino,VIA GIUSEPPE LUIGI PASSALACQUA,4 scala A,1,10122,7.670207540885,45.075085202168
57405,Torino,VIA GIUSEPPE LUIGI PASSALACQUA,5,1,10122,7.6705179812448,45.0751352479872
57412,Torino,VIA GIUSEPPE LUIGI PASSALACQUA,10,1,10122,7.66979487928081,45.0743322247815
57414,Torino,VIA GIUSEPPE LUIGI PASSALACQUA,12,1,10122,7.66956315540865,45.073998224932
57389,Torino,VIA PASSO BUOLE,1,8,10127,7.66299941042014,45.0220525053351
81581,Torino,VIA PASSO BUOLE,5,8,10127,7.66240464815205,45.0221837088135
