tabula_archetype_code,tabula_epoca,tabula_slot,tabula_construction_code,component_type_it,catalog_description,u_value,u_value_from_R,u_value_best,y_internal,y_external,n_layers,total_thickness_m,source_file,parse_error
SFH_08,Dopo il 2005,floor_2,Floor_08.02,Chiusura orizzontale inferiore,,0.3357258625,0.32694475757306146,0.3357258625,0.7319245626,7.625576748,3,0.41,Floor_08.02.xlsx,
TH_01,Fino al 1900,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
TH_01,Fino al 1900,wall_1,Wall_01.03,Chiusura verticale,"Muratura di pietra listata con mattoni (40 cm) (U=1,61 W/m2K)",1.610841217,1.3499035783042648,1.610841217,4.319789684,6.608094443,3,0.4,Wall_01.03.xlsx,
TH_01,Fino al 1900,floor_1,Floor_01.01,Chiusura orizzontale inferiore,,1.587881,1.4089068826755136,1.587881,3.93832266,3.863711139,3,0.39,Floor_01.01.xlsx,
TH_01,Fino al 1900,floor_2,Floor_01.01,Chiusura orizzontale inferiore,,1.587881,1.4089068826755136,1.587881,3.93832266,3.863711139,3,0.39,Floor_01.01.xlsx,
TH_02,1901-1920,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
TH_02,1901-1920,wall_1,Wall_01.03,Chiusura verticale,"Muratura di pietra listata con mattoni (40 cm) (U=1,61 W/m2K)",1.610841217,1.3499035783042648,1.610841217,4.319789684,6.608094443,3,0.4,Wall_01.03.xlsx,
TH_02,1901-1920,floor_1,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
TH_02,1901-1920,floor_2,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
TH_03,1921-1945,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
TH_03,1921-1945,ceiling,Ceiling_02.02,Partizione orizzontale,"Solaio a profilati in acciaio e tavelloni in laterizio (U=2,48 W/m2K)",2.482404413,2.310347880193094,2.482404413,,,3,0.13,Ceiling_02.02.xlsx,
TH_03,1921-1945,wall_1,Wall_01.05,Chiusura verticale,"Muratura in mattoni pieni (25 cm) (U=2,01 W/m2K)",1.994301994,1.6091954023728368,1.994301994,,,3,0.25,Wall_01.05.xlsx,
TH_03,1921-1945,floor_1,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
TH_03,1921-1945,floor_2,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
TH_04,1946-1960,roof,Roof_03.01,Chiusura superiore,"Tetto a falde in laterizio (U=2,2 W/m2K)",2.216748768,1.6635859519716003,2.216748768,,,2,0.19,Roof_03.01.xlsx,
TH_04,1946-1960,wall_1,Wall_03.01,Chiusura verticale,"Muratura a cassa-vuota con mattoni forati (30 cm) (U=1,15 W/m2K)",1.151641047,1.011811770916345,1.151641047,,,5,0.30000000000000004,Wall_03.01.xlsx,
TH_04,1946-1960,floor_1,Floor_03.01,Chiusura orizzontale inferiore,,1.318242344,1.1924837388379972,1.318242344,,,4,0.35000000000000003,Floor_03.01.xlsx,
TH_04,1946-1960,floor_2,Floor_03.01,Chiusura orizzontale inferiore,,1.318242344,1.1924837388379972,1.318242344,,,4,0.35000000000000003,Floor_03.01.xlsx,
TH_05,1961-1975,roof,Roof_03.02,Chiusura superiore,"Tetto piano in latero-cemento (U=1,85 W/m2K)",1.844262295,1.444622792983776,1.844262295,,,2,0.28,Roof_03.02.xlsx,
TH_05,1961-1975,wall_1,Wall_04.02,Chiusura verticale,"Muratura in mattoni forati (40 cm) (U=1,26 W/m2K)",1.26227209,1.096224116957277,1.26227209,3.929188318,5.539627983,3,0.4,Wall_04.02.xlsx,
TH_05,1961-1975,floor_1,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
TH_05,1961-1975,floor_2,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
TH_06,1976-1990,roof,Roof_06.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno, basso livello di isolamento (U=0,95 W/m2K)",0.9463722397,0.8287292815390251,0.9463722397,,,2,0.07,Roof_06.01.xlsx,
TH_06,1976-1990,wall_1,Wall_06.02,Chiusura verticale,"Muratura a cassa-vuota con mattoni forati (40 cm), basso livello di isolamento (U=0,76 W/m2K)",0.7653522607,0.7009732823360503,0.7653522607,,,6,0.4,Wall_06.02.xlsx,
TH_06,1976-1990,floor_1,Floor_06.01,Chiusura orizzontale inferiore,,0.9753694581,0.9047706088705836,0.9753694581,,,5,0.37000000000000005,Floor_06.01.xlsx,
TH_06,1976-1990,floor_2,Floor_06.01,Chiusura orizzontale inferiore,,0.9753694581,0.9047706088705836,0.9753694581,,,5,0.37000000000000005,Floor_06.01.xlsx,
TH_07,1991-2005,roof,Roof_03.01,Chiusura superiore,"Tetto a falde in laterizio (U=2,2 W/m2K)",2.216748768,1.6635859519716003,2.216748768,,,2,0.19,Roof_03.01.xlsx,
TH_07,1991-2005,ceiling,Ceiling_07.01,Partizione orizzontale,"Solaio latero-cementizio, medio livello di isolamento (U=0,69 W/m2K)",0.6799592681,0.6663662114710414,0.6799592681,,,3,0.27,Ceiling_07.01.xlsx,
TH_07,1991-2005,wall_1,Wall_07.03,Chiusura verticale,"Muratura in mattoni forati (40 cm), medio livello di isolamento (U=0,59 W/m2K)",0.5905767317,0.5514928690540908,0.5905767317,,,4,0.4,Wall_07.03.xlsx,
TH_07,1991-2005,floor_1,Floor_07.01,Chiusura orizzontale inferiore,,0.7740422205,0.7289059048311645,0.7740422205,,,5,0.39,Floor_07.01.xlsx,
TH_07,1991-2005,floor_2,Floor_07.01,Chiusura orizzontale inferiore,,0.7740422205,0.7289059048311645,0.7740422205,,,5,0.39,Floor_07.01.xlsx,
TH_08,Dopo il 2005,roof,Roof_07.02,Chiusura superiore,"Tetto a falde in laterizio, medio livello di isolamento (U=0,74 W/m2K)",0.7351849101,0.6621630661042289,0.7351849101,,,3,0.23,Roof_07.02.xlsx,
TH_08,Dopo il 2005,ceiling,Ceiling_08.01,Partizione orizzontale,"Solaio latero-cementizio, alto livello di isolamento (U=0,3 W/m2K)",0.2984084881,0.29576076241524024,0.2984084881,,,3,0.34,Ceiling_08.01.xlsx,
TH_08,Dopo il 2005,wall_1,Wall_08.01,Chiusura verticale,"Muratura in mattoni alveolati (alta resistenza termica), alto livello di isolamento (U=0,34 W/m2K)",0.3366103868,0.3235414954590898,0.3366103868,,,4,0.37,Wall_08.01.xlsx,
TH_08,Dopo il 2005,floor_1,Floor_08.02,Chiusura orizzontale inferiore,,0.3357258625,0.32694475757306146,0.3357258625,0.7319245626,7.625576748,3,0.41,Floor_08.02.xlsx,
TH_08,Dopo il 2005,floor_2,Floor_08.02,Chiusura orizzontale inferiore,,0.3357258625,0.32694475757306146,0.3357258625,0.7319245626,7.625576748,3,0.41,Floor_08.02.xlsx,
MFH_01,Fino al 1900,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
MFH_01,Fino al 1900,ceiling,Ceiling_01.01,Partizione orizzontale,"Solaio a volte in laterizio (U=2,07 W/m2K)",2.079515576,1.9574021297158801,2.079515576,3.180207499,4.176920208,2,0.21000000000000002,Ceiling_01.01.xlsx,
MFH_01,Fino al 1900,wall_1,Wall_01.04,Chiusura verticale,"Muratura di pietra listata con mattoni (60 cm) (U=1,19 W/m2K)",1.186217285,1.0384044832872656,1.186217285,4.317898534,6.611377581,3,0.6000000000000001,Wall_01.04.xlsx,
MFH_01,Fino al 1900,floor_1,Floor_01.01,Chiusura orizzontale inferiore,,1.587881,1.4089068826755136,1.587881,3.93832266,3.863711139,3,0.39,Floor_01.01.xlsx,
MFH_01,Fino al 1900,floor_2,Floor_01.01,Chiusura orizzontale inferiore,,1.587881,1.4089068826755136,1.587881,3.93832266,3.863711139,3,0.39,Floor_01.01.xlsx,
MFH_02,1901-1920,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
MFH_02,1901-1920,ceiling,Ceiling_01.02,Partizione orizzontale,"Solaio in legno e tavelle in laterizio (U=2,86 W/m2K)",2.857142857,2.6315789473684212,2.857142857,,,2,0.06999999999999999,Ceiling_01.02.xlsx,
MFH_02,1901-1920,wall_1,Wall_01.04,Chiusura verticale,"Muratura di pietra listata con mattoni (60 cm) (U=1,19 W/m2K)",1.186217285,1.0384044832872656,1.186217285,4.317898534,6.611377581,3,0.6000000000000001,Wall_01.04.xlsx,
MFH_02,1901-1920,wall_2,Wall_01.06,Chiusura verticale,"Muratura in mattoni pieni (38 cm) (U=1,48 W/m2K)",1.482004234,1.2582384660870827,1.482004234,,,3,0.38,Wall_01.06.xlsx,
MFH_02,1901-1920,floor_1,Floor_01.03,Chiusura orizzontale inferiore,,1.875202069,1.6305875737156297,1.875202069,4.130679517,4.442855909,3,0.215,Floor_01.03.xlsx,
MFH_02,1901-1920,floor_2,Floor_01.03,Chiusura orizzontale inferiore,,1.875202069,1.6305875737156297,1.875202069,4.130679517,4.442855909,3,0.215,Floor_01.03.xlsx,
MFH_03,1921-1945,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
MFH_03,1921-1945,ceiling,Ceiling_02.03,Partizione orizzontale,"Soletta in calcestruzzo armato (U=2,66 W/m2K)",2.669803601,2.4718249832625934,2.669803601,,,2,0.13,Ceiling_02.03.xlsx,
MFH_03,1921-1945,wall_1,Wall_01.06,Chiusura verticale,"Muratura in mattoni pieni (38 cm) (U=1,48 W/m2K)",1.482004234,1.2582384660870827,1.482004234,,,3,0.38,Wall_01.06.xlsx,
MFH_03,1921-1945,wall_2,Wall_03.01,Chiusura verticale,"Muratura a cassa-vuota con mattoni forati (30 cm) (U=1,15 W/m2K)",1.151641047,1.011811770916345,1.151641047,,,5,0.30000000000000004,Wall_03.01.xlsx,
MFH_03,1921-1945,floor_1,Floor_02.03,Chiusura orizzontale su spazi esterni,,1.951839665,1.6882276842069255,1.951839665,,,4,0.22999999999999998,Floor_02.03.xlsx,
MFH_03,1921-1945,floor_2,Floor_02.03,Chiusura orizzontale su spazi esterni,,1.951839665,1.6882276842069255,1.951839665,,,4,0.22999999999999998,Floor_02.03.xlsx,
MFH_04,1946-1960,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
MFH_04,1946-1960,ceiling,Ceiling_03.01,Partizione orizzontale,"Solaio latero-cementizio (U=1,65 W/m2K)",1.663585952,1.5845070422814176,1.663585952,,,2,0.23,Ceiling_03.01.xlsx,
MFH_04,1946-1960,wall_1,Wall_01.06,Chiusura verticale,"Muratura in mattoni pieni (38 cm) (U=1,48 W/m2K)",1.482004234,1.2582384660870827,1.482004234,,,3,0.38,Wall_01.06.xlsx,
MFH_04,1946-1960,wall_2,Wall_01.05,Chiusura verticale,"Muratura in mattoni pieni (25 cm) (U=2,01 W/m2K)",1.994301994,1.6091954023728368,1.994301994,,,3,0.25,Wall_01.05.xlsx,
MFH_04,1946-1960,floor_1,Floor_03.01,Chiusura orizzontale inferiore,,1.318242344,1.1924837388379972,1.318242344,,,4,0.35000000000000003,Floor_03.01.xlsx,
MFH_04,1946-1960,floor_2,Floor_03.01,Chiusura orizzontale inferiore,,1.318242344,1.1924837388379972,1.318242344,,,4,0.35000000000000003,Floor_03.01.xlsx,
MFH_05,1961-1975,roof,Roof_03.01,Chiusura superiore,"Tetto a falde in laterizio (U=2,2 W/m2K)",2.216748768,1.6635859519716003,2.216748768,,,2,0.19,Roof_03.01.xlsx,
MFH_05,1961-1975,ceiling,Ceiling_03.01,Partizione orizzontale,"Solaio latero-cementizio (U=1,65 W/m2K)",1.663585952,1.5845070422814176,1.663585952,,,2,0.23,Ceiling_03.01.xlsx,
MFH_05,1961-1975,wall_1,Wall_03.01,Chiusura verticale,"Muratura a cassa-vuota con mattoni forati (30 cm) (U=1,15 W/m2K)",1.151641047,1.011811770916345,1.151641047,,,5,0.30000000000000004,Wall_03.01.xlsx,
MFH_05,1961-1975,wall_2,Wall_04.01,Chiusura verticale,"Muratura in mattoni forati (25 cm) (U=1,76 W/m2K)",1.751946607,1.4476102941043418,1.751946607,3.845086479,5.367612176,3,0.24999999999999997,Wall_04.01.xlsx,
MFH_05,1961-1975,floor_1,Floor_03.01,Chiusura orizzontale inferiore,,1.318242344,1.1924837388379972,1.318242344,,,4,0.35000000000000003,Floor_03.01.xlsx,
MFH_05,1961-1975,floor_2,Floor_03.01,Chiusura orizzontale inferiore,,1.318242344,1.1924837388379972,1.318242344,,,4,0.35000000000000003,Floor_03.01.xlsx,
MFH_06,1976-1990,roof,Roof_03.01,Chiusura superiore,"Tetto a falde in laterizio (U=2,2 W/m2K)",2.216748768,1.6635859519716003,2.216748768,,,2,0.19,Roof_03.01.xlsx,
MFH_06,1976-1990,ceiling,Ceiling_06.01,Partizione orizzontale,"Solaio latero-cementizio, basso livello di isolamento (U=0,97 W/m2K)",0.9653499977,0.938179840294021,0.9653499977,,,3,0.25,Ceiling_06.01.xlsx,
MFH_06,1976-1990,wall_1,Wall_06.03,Chiusura verticale,"Muratura in mattoni forati (25 cm), basso livello di isolamento (U=0,8 W/m2K)",0.810318474,0.7385073375507976,0.810318474,,,4,0.24999999999999997,Wall_06.03.xlsx,
MFH_06,1976-1990,wall_2,Wall_06.03,Chiusura verticale,"Muratura in mattoni forati (25 cm), basso livello di isolamento (U=0,8 W/m2K)",0.810318474,0.7385073375507976,0.810318474,,,4,0.24999999999999997,Wall_06.03.xlsx,
MFH_06,1976-1990,floor_1,Floor_06.01,Chiusura orizzontale inferiore,,0.9753694581,0.9047706088705836,0.9753694581,,,5,0.37000000000000005,Floor_06.01.xlsx,
MFH_06,1976-1990,floor_2,Floor_06.01,Chiusura orizzontale inferiore,,0.9753694581,0.9047706088705836,0.9753694581,,,5,0.37000000000000005,Floor_06.01.xlsx,
MFH_07,1991-2005,roof,Roof_03.01,Chiusura superiore,"Tetto a falde in laterizio (U=2,2 W/m2K)",2.216748768,1.6635859519716003,2.216748768,,,2,0.19,Roof_03.01.xlsx,
MFH_07,1991-2005,ceiling,Ceiling_07.01,Partizione orizzontale,"Solaio latero-cementizio, medio livello di isolamento (U=0,69 W/m2K)",0.6799592681,0.6663662114710414,0.6799592681,,,3,0.27,Ceiling_07.01.xlsx,
MFH_07,1991-2005,wall_1,Wall_07.01,Chiusura verticale,"Muratura a cassa-vuota con mattoni forati (30 e oltre), medio livello di isolamento (U=0,59 W/m2K)",0.589461999,0.5505206766479805,0.589461999,,,6,0.4,Wall_07.01.xlsx,
MFH_07,1991-2005,wall_2,Wall_07.05,Chiusura verticale,"Muratura in calcestruzzo (anche prefabbricata, 30 cm), medio livello di isolamento (U=0,6 W/m2K)",0.6085658897,0.5671482407829489,0.6085658897,,,4,0.30000000000000004,Wall_07.05.xlsx,
MFH_07,1991-2005,floor_1,Floor_07.01,Chiusura orizzontale inferiore,"Solaio latero-cementizio, medio livello di isolamento (U=0,77 W/m2K)",0.7740422205,0.7289059048311645,0.7740422205,,,5,0.39,Floor_07.01.xlsx,
MFH_07,1991-2005,floor_2,Floor_07.01,Chiusura orizzontale inferiore,"Solaio latero-cementizio, medio livello di isolamento (U=0,77 W/m2K)",0.7740422205,0.7289059048311645,0.7740422205,,,5,0.39,Floor_07.01.xlsx,
MFH_08,Dopo il 2005,roof,Roof_07.02,Chiusura superiore,"Tetto a falde in laterizio, medio livello di isolamento (U=0,74 W/m2K)",0.7351849101,0.6621630661042289,0.7351849101,,,3,0.23,Roof_07.02.xlsx,
MFH_08,Dopo il 2005,ceiling,Ceiling_08.01,Partizione orizzontale,"Solaio latero-cementizio, alto livello di isolamento (U=0,3 W/m2K)",0.2984084881,0.29576076241524024,0.2984084881,,,3,0.34,Ceiling_08.01.xlsx,
MFH_08,Dopo il 2005,wall_1,Wall_08.01,Chiusura verticale,"Muratura in mattoni alveolati (alta resistenza termica), alto livello di isolamento (U=0,34 W/m2K)",0.3366103868,0.3235414954590898,0.3366103868,,,4,0.37,Wall_08.01.xlsx,
MFH_08,Dopo il 2005,wall_2,Wall_08.02,Chiusura verticale,"Muratura in calcestruzzo (anche prefabbricata), alto livello di isolamento (U=0,34 W/m2K)",0.3373095364,0.3241873579693648,0.3373095364,,,4,0.33,Wall_08.02.xlsx,
MFH_08,Dopo il 2005,floor_1,Floor_08.01,Chiusura orizzontale inferiore,,0.3323820715,0.32377277033955365,0.3323820715,,,5,0.44000000000000006,Floor_08.01.xlsx,
MFH_08,Dopo il 2005,floor_2,Floor_08.01,Chiusura orizzontale inferiore,,0.3323820715,0.32377277033955365,0.3323820715,,,5,0.44000000000000006,Floor_08.01.xlsx,
AB_01,Fino al 1900,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
AB_01,Fino al 1900,ceiling,Ceiling_01.02,Partizione orizzontale,"Solaio in legno e tavelle in laterizio (U=2,86 W/m2K)",2.857142857,2.6315789473684212,2.857142857,,,2,0.06999999999999999,Ceiling_01.02.xlsx,
AB_01,Fino al 1900,wall_1,Wall_01.04,Chiusura verticale,"Muratura di pietra listata con mattoni (60 cm) (U=1,19 W/m2K)",1.186217285,1.0384044832872656,1.186217285,4.317898534,6.611377581,3,0.6000000000000001,Wall_01.04.xlsx,
AB_01,Fino al 1900,wall_2,Wall_01.07,Chiusura verticale,"Muratura in mattoni pieni (50 cm) (U=1,14 W/m2K)",1.134930643,0.9988901221974351,1.134930643,,,3,0.5,Wall_01.07.xlsx,
AB_01,Fino al 1900,wall_3,Wall_01.08,Chiusura verticale,"Muratura in mattoni pieni (62 cm) (U=1,02 W/m2K)",1.018922853,0.9079118032067102,1.018922853,,,3,0.61,Wall_01.08.xlsx,
AB_01,Fino al 1900,floor_1,Floor_01.01,Chiusura orizzontale inferiore,,1.587881,1.4089068826755136,1.587881,3.93832266,3.863711139,3,0.39,Floor_01.01.xlsx,
AB_01,Fino al 1900,floor_2,Floor_01.01,Chiusura orizzontale inferiore,,1.587881,1.4089068826755136,1.587881,3.93832266,3.863711139,3,0.39,Floor_01.01.xlsx,
AB_02,1901-1920,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
AB_02,1901-1920,ceiling,Ceiling_01.04,Partizione orizzontale,"Solaio a profilati in acciaio e voltine in laterizio (U=2,6 W/m2K)",2.580795164,2.3953388000434104,2.580795164,3.972939865,4.905276088,2,0.15,Ceiling_01.04.xlsx,
AB_02,1901-1920,wall_1,Wall_01.06,Chiusura verticale,"Muratura in mattoni pieni (38 cm) (U=1,48 W/m2K)",1.482004234,1.2582384660870827,1.482004234,,,3,0.38,Wall_01.06.xlsx,
AB_02,1901-1920,wall_2,Wall_01.07,Chiusura verticale,"Muratura in mattoni pieni (50 cm) (U=1,14 W/m2K)",1.134930643,0.9988901221974351,1.134930643,,,3,0.5,Wall_01.07.xlsx,
