row_id,citydb_address,pg_type,attribute_type,geo_role,status,calculator,method,cim_source,logic
68,citydb.cityobject.last_modification_date,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Timestamp of last modification
69,citydb.cityobject.lineage,varchar(256),text,GEO-NONE,SCHEMA,—,—,—,Data lineage / provenance
70,citydb.cityobject.xml_source,text,text,GEO-NONE,SCHEMA,—,—,—,Original XML/GML source fragment
71,citydb.cityobject_genericattrib.id,bigint,integer,GEO-NONE,SCHEMA,citydb_mapper_calculator,map_scenario_to_citydb,db_sequence,Auto-generated PK from PostgreSQL sequence on insert.
72,citydb.cityobject_genericattrib.parent_genattrib_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
73,citydb.cityobject_genericattrib.root_genattrib_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
74,citydb.cityobject_genericattrib.attrname,varchar(256),text,GEO-NONE,SCHEMA,—,—,—,Attribute name
75,citydb.cityobject_genericattrib.datatype,numeric,numeric,GEO-NONE,SCHEMA,—,—,—,Data type code (1=string 2=int 3=real 4=uri 5=date 6=blob 7=nested)
76,citydb.cityobject_genericattrib.strval,varchar(4000),text,GEO-NONE,SCHEMA,—,—,—,String value (used when datatype=1)
77,citydb.cityobject_genericattrib.intval,integer,integer,GEO-NONE,SCHEMA,—,—,—,Integer value (used when datatype=2)
78,citydb.cityobject_genericattrib.realval,double precision,numeric,GEO-NONE,SCHEMA,—,—,—,Real/float value (used when datatype=3)
79,citydb.cityobject_genericattrib.urival,varchar(4000),text,GEO-NONE,SCHEMA,—,—,—,URI value (used when datatype=4)
80,citydb.cityobject_genericattrib.dateval,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Date value (used when datatype=5)
81,citydb.cityobject_genericattrib.unit,varchar(4000),text,GEO-NONE,SCHEMA,—,—,—,Unit of measure for numeric values
82,citydb.cityobject_genericattrib.cityobject_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
83,citydb.cityobject_member.citymodel_id,bigint,fk,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_project_scenario.scenario_id,Link building CityObject to scenario CityModel.
84,citydb.cityobject_member.cityobject_id,bigint,fk,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building.building_id,Link building CityObject as citymodel member.
85,citydb.codelist.id,bigint,integer,GEO-NONE,DB-INIT,—,—,—,Populated at database initialization.
86,citydb.codelist.codelist_type,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
87,citydb.codelist.url,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
88,citydb.codelist.mime_type,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
89,citydb.codelist_entry.id,bigint,integer,GEO-NONE,DB-INIT,—,—,—,Populated at database initialization.
90,citydb.codelist_entry.codelist_id,bigint,fk,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
91,citydb.codelist_entry.code,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
92,citydb.codelist_entry.definition,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
93,citydb.database_srs.srid,integer,integer,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
94,citydb.database_srs.srs_name,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
95,citydb.datatype.id,integer,integer,GEO-NONE,DB-INIT,—,—,—,Populated at database initialization.
96,citydb.datatype.supertype_id,integer,fk,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
97,citydb.datatype.typename,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
98,citydb.datatype.is_abstract,integer,integer,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
99,citydb.datatype.ade_id,integer,fk,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
100,citydb.datatype.namespace_id,integer,fk,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
101,citydb.datatype.schema,jsonb,json,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
102,citydb.feature.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
103,citydb.feature.objectclass_id,integer,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
104,citydb.feature.objectid,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
105,citydb.feature.identifier,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
106,citydb.feature.identifier_codespace,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
107,citydb.feature.envelope,geometry(GeometryZ 4326),geometry,GEO-DIRECT,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
108,citydb.feature.last_modification_date,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
109,citydb.feature.updating_person,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
110,citydb.feature.reason_for_update,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
111,citydb.feature.lineage,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
112,citydb.feature.creation_date,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
113,citydb.feature.termination_date,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
114,citydb.feature.valid_from,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
115,citydb.feature.valid_to,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
116,citydb.geometry_data.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
117,citydb.geometry_data.geometry,geometry(GeometryZ 4326),geometry,GEO-DIRECT,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
118,citydb.geometry_data.implicit_geometry,geometry(GeometryZ),geometry,GEO-DIRECT,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
119,citydb.geometry_data.geometry_properties,jsonb,json,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
120,citydb.geometry_data.feature_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
121,citydb.implicit_geometry.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
122,citydb.implicit_geometry.objectid,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
123,citydb.implicit_geometry.mime_type,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
124,citydb.implicit_geometry.mime_type_codespace,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
125,citydb.implicit_geometry.reference_to_library,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
126,citydb.implicit_geometry.library_object,bytea,binary,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
127,citydb.implicit_geometry.relative_geometry_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
128,citydb.namespace.id,integer,integer,GEO-NONE,DB-INIT,—,—,—,Populated at database initialization.
129,citydb.namespace.alias,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
130,citydb.namespace.namespace,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
131,citydb.namespace.ade_id,integer,fk,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
132,citydb.objectclass.id,integer,integer,GEO-NONE,DB-INIT,—,—,—,Populated at database initialization.
133,citydb.objectclass.superclass_id,integer,fk,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
134,citydb.objectclass.classname,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
135,citydb.objectclass.is_abstract,integer,integer,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
136,citydb.objectclass.is_toplevel,integer,integer,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
137,citydb.objectclass.ade_id,integer,fk,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
138,citydb.objectclass.namespace_id,integer,fk,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
139,citydb.objectclass.schema,jsonb,json,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
140,citydb.property.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
141,citydb.property.feature_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
142,citydb.property.parent_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
143,citydb.property.datatype_id,integer,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
144,citydb.property.namespace_id,integer,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
145,citydb.property.name,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
146,citydb.property.val_int,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
147,citydb.property.val_double,double precision,numeric,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
148,citydb.property.val_string,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
149,citydb.property.val_timestamp,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
150,citydb.property.val_uri,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
151,citydb.property.val_codespace,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
152,citydb.property.val_uom,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
153,citydb.property.val_array,jsonb,json,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
154,citydb.property.val_lod,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
155,citydb.property.val_geometry_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
156,citydb.property.val_implicitgeom_id,bigint,fk,GEO-DIRECT,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
157,citydb.property.val_implicitgeom_refpoint,geometry(PointZ 4326),geometry,GEO-DIRECT,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
158,citydb.property.val_appearance_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
159,citydb.property.val_address_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
160,citydb.property.val_feature_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
161,citydb.property.val_relation_type,integer,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
162,citydb.property.val_content,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
163,citydb.property.val_content_mime_type,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
164,citydb.surface_data.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
165,citydb.surface_data.objectid,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
166,citydb.surface_data.identifier,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
167,citydb.surface_data.identifier_codespace,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
168,citydb.surface_data.is_front,integer,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
169,citydb.surface_data.objectclass_id,integer,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
170,citydb.surface_data.x3d_shininess,double precision,numeric,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
171,citydb.surface_data.x3d_transparency,double precision,numeric,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
172,citydb.surface_data.x3d_ambient_intensity,double precision,numeric,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
173,citydb.surface_data.x3d_specular_color,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
174,citydb.surface_data.x3d_diffuse_color,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
175,citydb.surface_data.x3d_emissive_color,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
176,citydb.surface_data.x3d_is_smooth,integer,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
177,citydb.surface_data.tex_image_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
178,citydb.surface_data.tex_texture_type,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
179,citydb.surface_data.tex_wrap_mode,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
180,citydb.surface_data.tex_border_color,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
181,citydb.surface_data.gt_orientation,jsonb,json,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
182,citydb.surface_data.gt_reference_point,geometry(Point 4326),geometry,GEO-DIRECT,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
183,citydb.surface_data_mapping.surface_data_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
184,citydb.surface_data_mapping.geometry_data_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
185,citydb.surface_data_mapping.material_mapping,jsonb,json,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
186,citydb.surface_data_mapping.texture_mapping,jsonb,json,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
187,citydb.surface_data_mapping.world_to_texture_mapping,jsonb,json,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
188,citydb.surface_data_mapping.georeferenced_texture_mapping,jsonb,json,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
189,citydb.surface_geometry.id,bigint,integer,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,db_sequence,Auto-generated PK from PostgreSQL sequence on insert.
190,citydb.surface_geometry.gmlid,varchar(256),text,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building.building_surfaces_lod12.surfaces.*.surface_id,Synthetic ms-/poly- gmlid from surface cityobject id.
191,citydb.surface_geometry.gmlid_codespace,varchar(1000),text,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
192,citydb.surface_geometry.parent_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
193,citydb.surface_geometry.root_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
194,citydb.surface_geometry.is_solid,numeric,integer,GEO-NONE,SCHEMA,—,—,—,1 if this node represents a solid
195,citydb.surface_geometry.is_composite,numeric,numeric,GEO-NONE,SCHEMA,—,—,—,1 if this node is a composite surface
196,citydb.surface_geometry.is_triangulated,numeric,numeric,GEO-NONE,SCHEMA,—,—,—,1 if this geometry is a triangulated surface
197,citydb.surface_geometry.is_xlink,numeric,numeric,GEO-NONE,SCHEMA,—,—,—,1 if this is an XLink reference to another geometry
198,citydb.surface_geometry.is_reverse,numeric,numeric,GEO-NONE,SCHEMA,—,—,—,1 if the surface normal is reversed
199,citydb.surface_geometry.solid_geometry,geometry(GeometryZ 4326),geometry,GEO-DIRECT,SCHEMA,—,—,—,Solid geometry stored at root node (3D WGS84)
200,citydb.surface_geometry.geometry,geometry(GeometryZ 4326),geometry,GEO-DIRECT,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building.building_surfaces_lod12.surfaces.*.geometry,GeoJSON Polygon from LOD1.2 wall/roof/ground/floor to PostGIS PolygonZ EPSG:4326.
201,citydb.surface_geometry.cityobject_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
202,citydb.tex_image.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
203,citydb.tex_image.image_uri,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
204,citydb.tex_image.image_data,bytea,binary,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
205,citydb.tex_image.mime_type,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
206,citydb.tex_image.mime_type_codespace,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
207,citydb.thematic_surface.id,bigint,fk,GEO-NONE,SCHEMA,citydb_mapper_calculator,map_scenario_to_citydb,db_sequence,Auto-generated PK from PostgreSQL sequence on insert.
208,citydb.thematic_surface.objectclass_id,integer,fk,GEO-FK,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building.building_surfaces_lod12.surfaces.*.surface_type,Map Wall=34 Roof=33 Ground=35 Floor=32 from surface_type.
